!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134990    -15.867    -50.000   1.2302    
 134991    -12.867    -50.000   2.2586    
 134992     -9.867    -50.000  0.88971    
 134993     -6.867    -50.000 -0.87765    
 134994     -3.867    -50.000   2.2702    
 134995     -0.867    -50.000 -0.35029    
 134996      2.133    -50.000   2.5240    
 134997      5.133    -50.000  0.13351    
 134998      8.133    -50.000   1.8798    
 134999     11.133    -50.000 -0.25198    
 135000     14.133    -50.000  0.62040    
 135001     17.133    -50.000   1.7043    
 135002     20.133    -50.000  0.81774    
 135003     23.133    -50.000  0.65516    
 135004     26.133    -50.000   1.2298    
 135005     29.133    -50.000  0.51814    
 135006     32.133    -50.000   2.5850    
 135007     35.133    -50.000  7.74630E-02
 135008     38.133    -50.000   2.8011    
 135009     41.133    -50.000   1.5854    
 135010     44.133    -50.000   3.7112    
 135011     47.133    -50.000   1.0838    
 135012     50.133    -50.000   1.4271    
 135013     53.133    -50.000   2.7597    
 135014     56.133    -50.000  0.64766    
 135015     59.133    -50.000 -0.94086    
 135016     62.133    -50.000  -1.4532    
 135017     65.133    -50.000  -1.5018    
 135018     68.133    -50.000 -0.13934    
 135019     71.133    -50.000 -0.38694    
 135020     74.133    -50.000  7.90868E-02
 135021     77.133    -50.000 -0.78923    
 135022     80.133    -50.000 -0.64579    
 135023     83.133    -50.000  -1.7148    
 135024     86.133    -50.000  -3.1925    
 135025     87.867    -30.000  -2.5943    
 135026     84.867    -30.000  -1.2647    
 135027     81.867    -30.000  -3.1780    
 135028     78.867    -30.000  -3.6769    
 135029     75.867    -30.000 -0.29032    
 135030     72.867    -30.000  -1.4563    
 135031     69.867    -30.000  -1.5337    
 135032     66.867    -30.000 -0.95402    
 135033     63.867    -30.000 -0.78757    
 135034     60.867    -30.000   2.1467    
 135035     57.867    -30.000  0.56777    
 135036     54.867    -30.000 -0.72427    
 135037     51.867    -30.000  -1.3690    
 135038     48.867    -30.000  0.94219    
 135039     45.867    -30.000  0.49088    
 135040     42.867    -30.000   1.0036    
 135041     39.867    -30.000  0.83840    
 135042     36.867    -30.000   1.0147    
 135043     33.867    -30.000  2.03451E-03
 135044     30.867    -30.000 -0.82519    
 135045     27.867    -30.000 -0.51650    
 135046     24.867    -30.000  4.35612E-02
 135047     21.867    -30.000  0.33232    
 135048     18.867    -30.000   1.3127    
 135049     15.867    -30.000   2.1079    
 135050     12.867    -30.000 -0.14613    
 135051      9.867    -30.000 -0.89584    
 135052      6.867    -30.000   2.7886    
 135053      3.867    -30.000   1.4953    
 135054      0.867    -30.000   2.0119    
 135055     -2.133    -30.000   1.4492    
 135056     -5.133    -30.000   1.3948    
 135057     -8.133    -30.000  0.29097    
 135058    -11.133    -30.000   1.7080    
 135059    -14.133    -30.000   2.1025    
 135060    -17.133    -30.000   2.3237    
 135061    -20.133    -30.000  0.54622    
 135062    -23.133    -30.000  0.11313    
 135063    -26.133    -30.000  0.21816    
 135064    -29.133    -30.000  0.93507    
 135065    -32.133    -30.000  0.16604    
 135066    -35.133    -30.000  -1.0033    
 135067    -38.133    -30.000  0.27522    
 135068    -41.133    -30.000 -0.71599    
 135069    -44.133    -30.000  0.78325    
 135070    -47.133    -30.000  0.12801    
 135071    -50.133    -30.000 -0.36181    
 135072    -53.133    -30.000  -2.5946    
 135073    -56.133    -30.000  -1.1416    
 135074    -59.133    -30.000  -1.3571    
 135075    -62.133    -30.000  -1.1458    
 135076    -65.133    -30.000 -7.01997E-02
 135077    -68.133    -30.000 -0.53029    
 135078    -71.133    -30.000  -1.6985    
 135079    -74.133    -30.000  -2.8677    
 135080    -77.133    -30.000 -0.79411    
 135081    -80.133    -30.000  -2.6938    
 135082    -87.867    -10.000   3.0493    
 135083    -84.867    -10.000  0.94678    
 135084    -81.867    -10.000   3.1102    
 135085    -78.867    -10.000   4.1579    
 135086    -75.867    -10.000   3.3893    
 135087    -72.867    -10.000   1.9108    
 135088    -69.867    -10.000   2.1442    
 135089    -66.867    -10.000   1.7656    
 135090    -63.867    -10.000   2.0055    
 135091    -60.867    -10.000   3.3653    
 135092    -57.867    -10.000   3.3752    
 135093    -54.867    -10.000   2.8558    
 135094    -51.867    -10.000   3.1989    
 135095    -48.867    -10.000   1.8672    
 135096    -45.867    -10.000   1.3181    
 135097    -42.867    -10.000   2.1858    
 135098    -39.867    -10.000   3.0507    
 135099    -36.867    -10.000   3.8135    
 135100    -33.867    -10.000   3.8640    
 135101    -30.867    -10.000   2.0352    
 135102    -27.867    -10.000   2.5964    
 135103    -24.867    -10.000   1.5991    
 135104    -21.867    -10.000   1.1588    
 135105    -18.867    -10.000   1.6246    
 135106    -15.867    -10.000   2.0466    
 135107    -12.867    -10.000   3.1542    
 135108     -9.867    -10.000   2.2691    
 135109     -6.867    -10.000  0.89449    
 135110     -3.867    -10.000   1.1169    
 135111     -0.867    -10.000   2.3843    
 135112      2.133    -10.000   2.8247    
 135113      5.133    -10.000  2.03312E-02
 135114      8.133    -10.000  0.89307    
 135115     11.133    -10.000  0.91052    
 135116     14.133    -10.000   1.9561    
 135117     17.133    -10.000   1.4100    
 135118     20.133    -10.000   1.3773    
 135119     23.133    -10.000   3.2693    
 135120     26.133    -10.000   3.8971    
 135121     29.133    -10.000   3.3171    
 135122     32.133    -10.000   1.4387    
 135123     35.133    -10.000   2.5776    
 135124     38.133    -10.000   5.0636    
 135125     41.133    -10.000   4.4595    
 135126     44.133    -10.000   1.4188    
 135127     47.133    -10.000   2.0996    
 135128     50.133    -10.000  0.59808    
 135129     53.133    -10.000   1.3212    
 135130     56.133    -10.000 -8.96222E-02
 135131     59.133    -10.000  0.98535    
 135132     62.133    -10.000   2.2554    
 135133     65.133    -10.000   1.3549    
 135134     68.133    -10.000  0.20742    
 135135     71.133    -10.000  0.30754    
 135136     74.133    -10.000   2.5370    
 135137     77.133    -10.000   1.8774    
 135138     80.133    -10.000  0.19138    
 135717    -87.867     10.000   2.4300    
 135718    -84.867     10.000   2.1303    
 135719    -81.867     10.000   1.6867    
 135720    -78.867     10.000   2.2458    
 135721    -75.867     10.000   1.6978    
 135722    -72.867     10.000  0.96588    
 135723    -69.867     10.000   3.3492    
 135724    -66.867     10.000   1.6243    
 135725    -63.867     10.000   3.3894    
 135726    -60.867     10.000   1.4838    
 135727    -57.867     10.000  0.73932    
 135728    -54.867     10.000   2.2622    
 135729    -51.867     10.000   2.4296    
 135730    -48.867     10.000   3.6680    
 135731    -45.867     10.000   2.1089    
 135732    -42.867     10.000   1.4002    
 135733    -39.867     10.000   2.4156    
 135734    -36.867     10.000   4.3002    
 135735    -33.867     10.000   3.1803    
 135736    -30.867     10.000   1.7739    
 135737    -27.867     10.000   2.4715    
 135738    -24.867     10.000   1.1606    
 135739    -21.867     10.000   4.3207    
 135740    -18.867     10.000   1.4550    
 135741    -15.867     10.000  0.84252    
 135742    -12.867     10.000   1.0397    
 135743     -9.867     10.000   3.6600    
 135744     -6.867     10.000   3.4977    
 135745     -3.867     10.000   4.0902    
 135746     -0.867     10.000  0.68595    
 135747      2.133     10.000  0.70710    
 135748      5.133     10.000   1.5965    
 135749      8.133     10.000   1.5542    
 135750     11.133     10.000  0.43750    
 135751     14.133     10.000   2.1099    
 135752     17.133     10.000   3.6993    
 135753     20.133     10.000   1.6285    
 135754     23.133     10.000  0.49636    
 135755     26.133     10.000   2.0639    
 135756     29.133     10.000  0.46213    
 135757     32.133     10.000 -0.53768    
 135758     35.133     10.000   2.0122    
 135759     38.133     10.000 -5.71702E-02
 135760     41.133     10.000 -0.23795    
 135761     44.133     10.000  0.34337    
 135762     47.133     10.000  0.32492    
 135763     50.133     10.000   1.9015    
 135764     53.133     10.000   3.3938    
 135765     56.133     10.000   2.1324    
 135766     59.133     10.000  -1.3544    
 135767     62.133     10.000   1.2666    
 135768     65.133     10.000   2.1962    
 135769     68.133     10.000  0.91963    
 135770     71.133     10.000  0.87479    
 135771     74.133     10.000   1.2901    
 135772     77.133     10.000   1.9514    
 135773     80.133     10.000   1.8360    
